K00001,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K01136,531,Metabolism ,Glycan biosynthesis and metabolism ,Glycosaminoglycan degradation 
K01136,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
K01137,531,Metabolism ,Glycan biosynthesis and metabolism ,Glycosaminoglycan degradation 
K01137,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
K01139,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K01141,3430,Genetic Information Processing ,Replication and Repair ,Mismatch repair 
K01142,3410,Genetic Information Processing ,Replication and Repair ,Base excision repair 
K01151,3410,Genetic Information Processing ,Replication and Repair ,Base excision repair 
K01158,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
K01159,3440,Genetic Information Processing ,Replication and Repair ,Homologous recombination 
K01173,4210,Cellular Processes ,Cell growth and death,Apoptosis 
K01176,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01176,4970,Organismal Systems,Digestive system,Salivary secretion 
K01176,4972,Organismal Systems,Digestive system,Pancreatic secretion 
K01176,4973,Organismal Systems,Digestive system,Carbohydrate digestion and absorption 
K01178,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01179,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01179,2020,Environmental Information Processing,Signal transduction,Two-component system 
K01182,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01182,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K01183,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K01184,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K01186,511,Metabolism ,Glycan biosynthesis and metabolism ,Other glycan degradation 
K01186,600,Metabolism ,Lipid metabolism,Sphingolipid metabolism 
K01186,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
K01187,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01187,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K01188,940,Metabolism ,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis 
K01188,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01188,460,Metabolism ,Metabolism of other amino acids,Cyanoamino acid metabolism 
K01190,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K01190,511,Metabolism ,Glycan biosynthesis and metabolism ,Other glycan degradation 
K01190,600,Metabolism ,Lipid metabolism,Sphingolipid metabolism 
K01191,511,Metabolism ,Glycan biosynthesis and metabolism ,Other glycan degradation 
K01192,511,Metabolism ,Glycan biosynthesis and metabolism ,Other glycan degradation 
K01192,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
K01193,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01193,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K01194,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01195,944,Metabolism ,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis 
K01195,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K01195,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K01195,531,Metabolism ,Glycan biosynthesis and metabolism ,Glycosaminoglycan degradation 
K01195,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K01195,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
K01195,983,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes 
K01197,531,Metabolism ,Glycan biosynthesis and metabolism ,Glycosaminoglycan degradation 
K01197,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
K01198,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K01200,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01201,511,Metabolism ,Glycan biosynthesis and metabolism ,Other glycan degradation 
K01201,600,Metabolism ,Lipid metabolism,Sphingolipid metabolism 
K01201,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
K01205,531,Metabolism ,Glycan biosynthesis and metabolism ,Glycosaminoglycan degradation 
K01205,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
K01206,511,Metabolism ,Glycan biosynthesis and metabolism ,Other glycan degradation 
K01206,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
K01207,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K01207,1501,Human Diseases,Drug resistance: antimicrobial ,beta-Lactam resistance 
K01207,531,Metabolism ,Glycan biosynthesis and metabolism ,Glycosaminoglycan degradation 
K01208,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01209,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K01210,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01212,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01214,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01217,531,Metabolism ,Glycan biosynthesis and metabolism ,Glycosaminoglycan degradation 
K01217,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
K01218,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K01218,2024,Cellular Processes ,Cellular community - prokaryotes,Quorum sensing 
K01220,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K01222,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01222,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K01223,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01223,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K01226,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01227,511,Metabolism ,Glycan biosynthesis and metabolism ,Other glycan degradation 
K01232,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01233,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K01236,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01239,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K01239,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K01240,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K01240,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K01241,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K01243,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K01246,3410,Genetic Information Processing ,Replication and Repair ,Base excision repair 
K01247,3410,Genetic Information Processing ,Replication and Repair ,Base excision repair 
K01251,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K01252,1053,Metabolism ,Metabolism of terpenoids and polyketides,Biosynthesis of siderophore group nonribosomal peptides 
K01253,5204,Human Diseases,Cancer: overview ,Chemical carcinogenesis 
K01253,4976,Organismal Systems,Digestive system,Bile secretion 
K01253,980,Metabolism ,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450 
K01255,480,Metabolism ,Metabolism of other amino acids,Glutathione metabolism 
K01256,480,Metabolism ,Metabolism of other amino acids,Glutathione metabolism 
K01259,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K01270,480,Metabolism ,Metabolism of other amino acids,Glutathione metabolism 
K01278,4974,Organismal Systems,Digestive system,Protein digestion and absorption 
K01283,5415,Human Diseases,Cardiovascular disease,Diabetic cardiomyopathy 
K01283,5410,Human Diseases,Cardiovascular disease,Hypertrophic cardiomyopathy 
K01283,4614,Organismal Systems,Endocrine system,Renin-angiotensin system 
K01283,4924,Organismal Systems,Endocrine system,Renin secretion 
K01283,5142,Human Diseases,Infectious disease: parasitic,Chagas disease 
K01283,5171,Human Diseases,Infectious disease: viral ,Coronavirus disease - COVID-19 
K01312,4974,Organismal Systems,Digestive system,Protein digestion and absorption 
K01312,4972,Organismal Systems,Digestive system,Pancreatic secretion 
K01312,5164,Human Diseases,Infectious disease: viral ,Influenza A 
K01312,4080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction 
K01318,2024,Cellular Processes ,Cellular community - prokaryotes,Quorum sensing 
K01322,4614,Organismal Systems,Endocrine system,Renin-angiotensin system 
K01338,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K01340,5164,Human Diseases,Infectious disease: viral ,Influenza A 
K01354,5143,Human Diseases,Infectious disease: parasitic,African trypanosomiasis 
K01354,5142,Human Diseases,Infectious disease: parasitic,Chagas disease 
K01358,4212,Organismal Systems,Aging,Longevity regulating pathway - worm 
K01358,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K01389,4974,Organismal Systems,Digestive system,Protein digestion and absorption 
K01389,4614,Organismal Systems,Endocrine system,Renin-angiotensin system 
K01389,4640,Organismal Systems,Immune system ,Hematopoietic cell lineage 
K01389,5010,Human Diseases,Neurodegenerative disease,Alzheimer disease 
K01392,4614,Organismal Systems,Endocrine system,Renin-angiotensin system 
K01392,5143,Human Diseases,Infectious disease: parasitic,African trypanosomiasis 
K01399,2024,Cellular Processes ,Cellular community - prokaryotes,Quorum sensing 
K01399,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K01401,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K01401,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K01406,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K01408,5010,Human Diseases,Neurodegenerative disease,Alzheimer disease 
K01424,250,Metabolism ,Amino acid metabolism ,Alanine
K01424,460,Metabolism ,Metabolism of other amino acids,Cyanoamino acid metabolism 
K01425,250,Metabolism ,Amino acid metabolism ,Alanine
K01425,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K01425,5230,Human Diseases,Cancer: overview ,Central carbon metabolism in cancer 
K01425,5206,Human Diseases,Cancer: overview ,MicroRNAs in cancer 
K01425,4964,Organismal Systems,Excretory system ,Proximal tubule bicarbonate reclamation 
K01425,471,Metabolism ,Metabolism of other amino acids,D-Glutamine and D-glutamate metabolism 
K01425,4727,Organismal Systems,Nervous system,GABAergic synapse 
K01425,4724,Organismal Systems,Nervous system,Glutamatergic synapse 
K01425,2020,Environmental Information Processing,Signal transduction,Two-component system 
K01426,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K01426,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K01426,380,Metabolism ,Amino acid metabolism ,Tryptophan metabolism 
K01426,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K01426,643,Metabolism ,Xenobiotics biodegradation and metabolism,Styrene degradation 
K01427,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K01427,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K01427,791,Metabolism ,Xenobiotics biodegradation and metabolism,Atrazine degradation 
K01428,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K01428,5120,Human Diseases,Infectious disease: bacterial ,Epithelial cell signaling in Helicobacter pylori infection 
K01428,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K01428,791,Metabolism ,Xenobiotics biodegradation and metabolism,Atrazine degradation 
K01429,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K01429,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K01429,791,Metabolism ,Xenobiotics biodegradation and metabolism,Atrazine degradation 
K01430,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K01430,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K01430,791,Metabolism ,Xenobiotics biodegradation and metabolism,Atrazine degradation 
K01432,380,Metabolism ,Amino acid metabolism ,Tryptophan metabolism 
K01432,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K01433,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K01433,670,Metabolism ,Metabolism of cofactors and vitamins,One carbon pool by folate 
K01434,311,Metabolism ,Biosynthesis of other secondary metabolites,Penicillin and cephalosporin biosynthesis 
K01437,250,Metabolism ,Amino acid metabolism ,Alanine
K01437,340,Metabolism ,Amino acid metabolism ,Histidine metabolism 
K01438,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K01439,300,Metabolism ,Amino acid metabolism ,Lysine biosynthesis 
K01442,121,Metabolism ,Lipid metabolism,Secondary bile acid biosynthesis 
K01442,120,Metabolism ,Lipid metabolism,Primary bile acid biosynthesis 
K01443,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K01444,511,Metabolism ,Glycan biosynthesis and metabolism ,Other glycan degradation 
K01444,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
K01446,4624,Organismal Systems,Immune system ,Toll and Imd signaling pathway 
K01448,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K01451,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K01452,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K01453,930,Metabolism ,Xenobiotics biodegradation and metabolism,Caprolactam degradation 
K01455,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K01455,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K01455,460,Metabolism ,Metabolism of other amino acids,Cyanoamino acid metabolism 
K01457,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K01457,791,Metabolism ,Xenobiotics biodegradation and metabolism,Atrazine degradation 
K01458,340,Metabolism ,Amino acid metabolism ,Histidine metabolism 
K01458,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K01460,480,Metabolism ,Metabolism of other amino acids,Glutathione metabolism 
K01464,770,Metabolism ,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis 
K01464,410,Metabolism ,Metabolism of other amino acids,beta-Alanine metabolism 
K01464,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K01464,983,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes 
K01465,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K01466,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K01467,1501,Human Diseases,Drug resistance: antimicrobial ,beta-Lactam resistance 
K01467,2020,Environmental Information Processing,Signal transduction,Two-component system 
K01468,340,Metabolism ,Amino acid metabolism ,Histidine metabolism 
K01469,480,Metabolism ,Metabolism of other amino acids,Glutathione metabolism 
K01470,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K01471,930,Metabolism ,Xenobiotics biodegradation and metabolism,Caprolactam degradation 
K01473,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K01474,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K01476,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K01476,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K01476,5146,Human Diseases,Infectious disease: parasitic,Amoebiasis 
K01477,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
